en_name	en_url	en_abbr	fr_name	fr_url	fr_abbr
Translation Bureau	http://www.tpsgc-pwgsc.gc.ca/bt-tb/index-eng.html		Bureau de la traduction	http://www.tpsgc-pwgsc.gc.ca/bt-tb/index-fra.html	
Communications Security Establishment Commissioner (Office of the)	https://www.canada.ca/en/office-communications-security-establishment-commissioner.html	OCSEC	Bureau du commissaire du Centre de la sécurité des télécommunications	https://www.canada.ca/fr/bureau-commissaire-centre-securite-telecommunications.html	BCCST
Privy Council Office	https://www.canada.ca/en/privy-council.html	PCO	Bureau du Conseil privé	https://www.canada.ca/fr/conseil-prive.html	BCP
Superintendent of Bankruptcy Canada (Office of the)	http://www.ic.gc.ca/eic/site/bsf-osb.nsf/eng/home	OSB	Bureau du surintendant des faillites Canada	http://www.ic.gc.ca/eic/site/bsf-osb.nsf/fra/accueil	BSF
Superintendent of Financial Institutions Canada (Office of the)	http://www.tbs-sct.gc.ca/aedb-bdve/org-eng.aspx?Org=67	OSFI	Bureau du surintendant des institutions financières Canada	http://www.tbs-sct.gc.ca/aedb-bdve/org-fra.aspx?Org=67	BSIF
Auditor General of Canada (Office of the)	http://www.oag-bvg.gc.ca/internet/English/admin_e_41.html	OAG	Bureau du vérificateur général du Canada	http://www.oag-bvg.gc.ca/internet/Francais/admin_f_41.html	BVG
Canadian Centre for Occupational Health and Safety	http://www.ccohs.ca/	CCOHS	Centre canadien d'hygiène et de sécurité au travail	http://www.cchst.ca/	CCHST
Financial Transactions and Reports Analysis Centre of Canada	https://www.canada.ca/en/financial-transactions-reports-analysis.html	FINTRAC	Centre d'analyse des opérations et déclarations financières du Canada	https://www.canada.ca/fr/analyse-operations-declarations-financieres.html	CANAFE
Communications Security Establishment Canada	https://www.canada.ca/en/communications-security.html	CSEC	Centre de la sécurité des télécommunications Canada	https://www.canada.ca/fr/securite-telecommunications.html	CSTC
International Development Research Centre	https://www.idrc.ca/en	IDRC	Centre de recherches pour le développement international	https://www.idrc.ca/fr	CRDI
Communications Research Centre Canada	http://www.crc.gc.ca/eic/site/069.nsf/Intro	CRC	Centre de recherches sur les communications Canada	http://www.crc.gc.ca/eic/site/069.nsf/fra/accueil	CRC
Canada Firearms Centre	http://www.rcmp-grc.gc.ca/cfp-pcaf/index-eng.htm	CAFC	Centre des armes à feu Canada	http://www.rcmp-grc.gc.ca/cfp-pcaf/index-fra.htm	CAFC
National Arts Centre	http://nac-cna.ca/en/	NAC	Centre national des arts	http://nac-cna.ca/fr/	CNA
Canada Research Chairs	http://www.chairs-chaires.gc.ca/home-accueil-eng.aspx		Chaires de recherche du Canada	http://www.chairs-chaires.gc.ca/home-accueil-fra.aspx	
Canadian Police College	http://www.cpc-ccp.gc.ca/en/node/317	CPC	Collège canadien de police	http://www.cpc-ccp.gc.ca/fr/accueil	CCP
Royal Military College of Canada	http://www.rmcc-cmrc.ca/en	RMCC	Collège militaire royal du Canada	http://www.rmcc-cmrc.ca/fr	CMRC
Security Intelligence Review Committee	http://www.sirc-csars.gc.ca/index-eng.html	SIRC	Comité de surveillance des activités de renseignement de sécurité	http://www.sirc-csars.gc.ca/index-fra.html	CSARS
Royal Canadian Mounted Police External Review Committee	https://www.canada.ca/en/rcmp-external-review-committee.html	ERC	Comité externe d'examen de la Gendarmerie royale du Canada	https://www.canada.ca/fr/comite-externe-examen-grc.html	CEE
Military Grievances External Review Committee	https://www.canada.ca/en/military-grievances-external-review.html	MGERC	Comité externe d'examen des griefs militaires	https://www.canada.ca/fr/externe-examen-griefs-militaires.html	CEEGM
Canadian Special Operations Forces Command	https://www.canada.ca/en/special-operations-forces-command.html	CANSOFCOM	Commandement des Forces d’opérations spéciales du Canada	https://www.canada.ca/fr/commandement-forces-operations-speciales.html	COMFOSCAN
Information Commissioner (Office of the)	http://www.oic-ci.gc.ca/eng/	OIC	Commissariat à l'information au Canada	http://www.oic-ci.gc.ca/fra/home-accueil.aspx	CI
Public Sector Integrity Commissioner of Canada (Office of the)	http://www.psic.gc.ca/eng	PSIC	Commissariat à l'intégrité du secteur public du Canada	http://www.psic.gc.ca/fra	ISPC
Commissioner for Federal Judicial Affairs Canada (Office of the)	http://www.fja.gc.ca/home-accueil/index-eng.html	FJA	Commissariat à la magistrature fédérale Canada	http://www.fja.gc.ca/home-accueil/index-fra.html	CMF
Privacy Commissioner of Canada (Office of the)	https://www.priv.gc.ca/en/	OPC	Commissariat à la protection de la vie privée du Canada	https://www.priv.gc.ca/fr/	CPVP
Commissioner of Lobbying of Canada (Office of the)	https://lobbycanada.gc.ca/eic/site/012.nsf/eng/h_00000.html	OCL	Commissariat au lobbying du Canada	https://lobbycanada.gc.ca/eic/site/012.nsf/fra/h_00000.html	CAL
Conflict of Interest and Ethics Commissioner (Office of the)	http://ciec-ccie.parl.gc.ca/EN/Pages/default.aspx	CIEC	Commissariat aux conflits d'intérêts et à l'éthique	http://ciec-ccie.parl.gc.ca/FR/Pages/default.aspx	CCIE
Commissioner of Official Languages (Office of the)	http://www.ocol-clo.gc.ca/html/index_e.php	OCOL	Commissariat aux langues officielles	http://www.officiallanguages.gc.ca/fr	CLO
Canadian Cultural Property Export Review Board	https://www.canada.ca/en/services/culture/history-heritage/movable-cultural-property/export-review-board.html		Commission canadienne d'examen des exportations de biens culturels	https://www.canada.ca/fr/services/culture/histoire-patrimoine/biens-culturels-mobiliers/commission-examen-exportations.html	
Canadian Nuclear Safety Commission	http://www.nuclearsafety.gc.ca/eng/	CNSC	Commission canadienne de sûreté nucléaire	http://www.nuclearsafety.gc.ca/fra/index.cfm	CCSN
Canadian Human Rights Commission	https://www.canada.ca/en/human-rights-commission.html	CHRC	Commission canadienne des droits de la personne	https://www.canada.ca/fr/commission-droits-personne.html	CCDP
Canadian Grain Commission	https://www.grainscanada.gc.ca/en/	CGC	Commission canadienne des grains	https://www.grainscanada.gc.ca/fr/	CCG
Canadian Dairy Commission	http://www.cdc-ccl.gc.ca/CDC/index-eng.php	CDC	Commission canadienne du lait	http://www.cdc-ccl.gc.ca/CDC/index-fra.php?id=3781	CCL
Civilian Review and Complaints Commission for the RCMP	https://www.canada.ca/en/civilian-review-complaints-rcmp.html	CRCC	Commission civile d'examen et de traitement des plaintes relatives à la GRC	https://www.canada.ca/fr/examen-traitement-plaintes-grc.html	CCETP
Judicial Compensation and Benefits Commission	http://quadcom.gc.ca/pg_JcJc_QC_01-eng.php		Commission d'examen de la rémunération des juges	http://quadcom.gc.ca/pg_JcJc_QC_01-fra.php	
Military Police Complaints Commission of Canada	https://www.canada.ca/en/military-police-complaints.html	MPCC	Commission d'examen des plaintes concernant la police militaire du Canada	https://www.canada.ca/fr/examen-plaintes-police-militaire.html	CPPM
