en_name	en_url	en_abbr	fr_name	fr_url	fr_abbr
Blue Water Bridge Canada	http://www.bluewaterbridge.ca/home	BWB	Pont Blue Water Canada	https://www.bluewaterbridge.ca/fr/	PBW
Jacques Cartier and Champlain Bridges	http://jacquescartierchamplain.ca/?lang=en	JCCBI	Ponts Jacques-Cartier et Champlain	http://jacquescartierchamplain.ca/	PJCCI
Canada Post	https://www.canadapost.ca/web/en/home.page	CPC	Postes Canada	https://www.canadapost.ca/web/fr/home.page	SCP
Prime Minister of Canada	http://pm.gc.ca/eng		Premier ministre du Canada	http://pm.gc.ca/fra	
Labour Program	https://www.canada.ca/en/employment-social-development/corporate/portfolio/labour.html		Programme du travail	https://www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/travail.html	
CBC/Radio-Canada	http://www.cbc.radio-canada.ca/en/	CBC	Radio Canada	http://ici.radio-canada.ca/	Radio-Canada
Defence Research and Development Canada	https://www.canada.ca/en/defence-research-development.html	DRDC	Recherche et développement pour la Défense Canada	https://www.canada.ca/fr/recherche-developpement-defense.html	RDDC
Crown-Indigenous Relations and Northern Affairs Canada	https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html	CIRNAC	Relations Couronne-Autochtones et Affaires du Nord Canada	https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html	RCAANC
Canadian Heritage Information Network	https://www.canada.ca/en/heritage-information-network.html	CHIN	Réseau canadien d'information sur le patrimoine	https://www.canada.ca/fr/reseau-information-patrimoine.html	RCIP
Natural Resources Canada	https://www.nrcan.gc.ca/home	NRCan	Ressources naturelles Canada	https://www.rncan.gc.ca/accueil	RNCan
Environmental Protection Review Canada	http://www.eprc-rpec.gc.ca/eic/site/eprc-rpec.nsf/eng/Home	EPRC	Révision de la protection de l'environnement Canada	http://www.eprc-rpec.gc.ca/eic/site/eprc-rpec.nsf/fra/accueil	RPEC
Ridley Terminals Inc.	http://www.rti.ca/		Ridley Terminals Inc.	http://www.rti.ca/fr	
Health Canada	https://www.canada.ca/en/health-canada.html	HC	Santé Canada	https://www.canada.ca/fr/sante-canada.html	SC
Polar Knowledge Canada	https://www.canada.ca/en/polar-knowledge.html	POLAR	Savoir polaire Canada	https://www.canada.ca/fr/savoir-polaire.html	POLAIRE
Canadian Intergovernmental Conference Secretariat	http://www.scics.ca/en/	CICS	Secrétariat des conférences intergouvernementales canadiennes	http://www.scics.ca/fr/	SCIC
Secretariat of the National Security and Intelligence Committee of Parliamentarians	https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians.html	NSICOP	Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement	https://www.canada.ca/fr/secretariat-comite-parlementaires-securite-nationale-renseignement.html	CPSNR
Treasury Board of Canada Secretariat	https://www.canada.ca/en/treasury-board-secretariat.html	TBS	Secrétariat du Conseil du Trésor du Canada	https://www.canada.ca/fr/secretariat-conseil-tresor.html	SCT
Public Safety Canada	https://www.publicsafety.gc.ca/index-en.aspx	PS	Sécurité publique Canada	https://www.securitepublique.gc.ca/index-fr.aspx	SP
Courts Administration Service	http://www.cas-satj.gc.ca/en/home.shtml	CAS	Service administratif des tribunaux judiciaires	http://www.cas-satj.gc.ca/fr/accueil.shtml	SATJ
Service Canada	https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html	ServCan	Service Canada	https://www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html	ServCan
Administrative Tribunals Support Service of Canada	https://www.canada.ca/en/administrative-tribunals-support-service.html	ATSSC	Service canadien d'appui aux tribunaux administratifs	https://www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html	SCDATA
Canadian Security Intelligence Service	https://www.canada.ca/en/security-intelligence-service.html	CSIS	Service canadien du renseignement de sécurité	https://www.canada.ca/fr/service-renseignement-securite.html	SCRS
Correctional Service Canada	http://www.csc-scc.gc.ca/index-en.shtml	CSC	Service correctionnel Canada	http://www.csc-scc.gc.ca/index-fr.shtml	SCC
Canadian Trade Commissioner Service	http://tradecommissioner.gc.ca/index.aspx?lang=eng	TCS	Service des délégués commerciaux du Canada	http://deleguescommerciaux.gc.ca/index.aspx?lang=fra	SDC
Public Prosecution Service of Canada	http://www.ppsc-sppc.gc.ca/eng/index.html	PPSC	Service des poursuites pénales du Canada	http://www.ppsc-sppc.gc.ca/fra/index.html	SPPC
Indigenous Services Canada	https://www.canada.ca/en/indigenous-services-canada.html	ISC	Services aux Autochtones Canada	https://www.canada.ca/fr/services-autochtones-canada.html	SAC
Shared Services Canada	https://www.canada.ca/en/shared-services.html	SSC	Services partagés Canada	https://www.canada.ca/fr/services-partages.html	SPC
Public Services and Procurement Canada	http://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html	PSPC	Services publics et Approvisionnement Canada	http://www.tpsgc-pwgsc.gc.ca/comm/index-fra.html	SPAC
Canada Mortgage and Housing Corporation	https://www.cmhc-schl.gc.ca/en	CMHC	Société canadienne d'hypothèques et de logement	https://www.cmhc-schl.gc.ca/fr	SCHL
Canada Deposit Insurance Corporation	http://www.cdic.ca/Pages/default.aspx	CDIC	Société d'assurance-dépôts du Canada	http://www.sadc.ca/Pages/default.aspx	SADC
Federal Bridge Corporation	http://www.federalbridge.ca/	FBCL	Société des ponts fédéraux	https://www.pontsfederaux.ca/	SPFL
Canada Lands Company Limited	http://www.clc.ca/home	CLC	Société immobilière du Canada Limitée	http://fr.clc.ca/	SIC
Statistics Canada	https://www.statcan.gc.ca/eng/start	StatCan	Statistique Canada	https://www.statcan.gc.ca/fra/debut	StatCan
Telefilm Canada	http://www.telefilm.ca/en/?q=en		Téléfilm Canada	http://www.telefilm.ca/fr/?q=fr	
Transport Canada	https://www.canada.ca/en/transport-canada.html	TC	Transports Canada	https://www.canada.ca/fr/transports-canada.html	TC
Canadian International Trade Tribunal	http://www.citt.gc.ca/	CITT	Tribunal canadien du commerce extérieur	http://www.citt.gc.ca/fr	TCCE
Transportation Appeal Tribunal of Canada	http://www.tatc.gc.ca/index.php	TATC	Tribunal d'appel des transports du Canada	http://www.tatc.gc.ca/index.php?lang=fra	TATC
Competition Tribunal	http://www.ct-tc.gc.ca/Home.asp		Tribunal de la concurrence	http://www.ct-tc.gc.ca/Accueil.asp	
Public Servants Disclosure Protection Tribunal Canada	http://www.psdpt-tpfd.gc.ca/Home-eng.html	PSDPTC	Tribunal de la protection des fonctionnaires divulgateurs Canada	http://www.psdpt-tpfd.gc.ca/Accueil-fra.html	TPFDC
Social Security Tribunal of Canada	http://www1.canada.ca/en/sst/	SST	Tribunal de la sécurité sociale du Canada	http://www1.canada.ca/fr/tss/index.html	TSS
Occupational Health and Safety Tribunal Canada	https://www.canada.ca/en/occupational-health-and-safety-tribunal-canada.html	OHSTC	Tribunal de santé et sécurité au travail Canada	https://www.canada.ca/fr/tribunal-de-sante-et-securite-au-travail-canada.html	TSSTC
Veterans Review and Appeal Board	https://www.canada.ca/en/veterans-review-appeal-board.html	VRAB	Tribunal des anciens combattants (révision et appel)	https://www.canada.ca/fr/tribunal-anciens-combattants-revision-appel.html	TACRA
Human Rights Tribunal of Canada	http://www.chrt-tcdp.gc.ca/index-en.html	HRTC	Tribunal des droits de la personne du Canada	http://www.chrt-tcdp.gc.ca/index-fr.html	TDPC
VIA Rail Canada	http://www.viarail.ca/en	VIA Rail	VIA Rail Canada	http://www.viarail.ca/fr	VIA Rail
