dept_name	dept_url	dept_abbr
Copyright Board Canada	http://www.cb-cda.gc.ca/home-accueil-e.html	CB
CORCAN	http://www.csc-scc.gc.ca/corcan/index-eng.shtml	
Correctional Investigator Canada	http://www.oci-bec.gc.ca/index-eng.aspx	OCI
Correctional Service Canada	http://www.csc-scc.gc.ca/index-en.shtml	CSC
Courts Administration Service	http://www.cas-satj.gc.ca/en/home.shtml	CAS
Court Martial Appeal Court of Canada	http://www.cmac-cacm.ca/index-eng.shtml	CMAC
Crown-Indigenous Relations and Northern Affairs Canada	https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html	CIRNAC
Bank of Canada Museum	http://www.bankofcanadamuseum.ca/	
Defence Construction Canada	https://www.dcc-cdc.gc.ca/english/homepage/	DCC
Defence Research and Development Canada	https://www.canada.ca/en/defence-research-development.html	DRDC
Democratic Institutions	https://www.canada.ca/en/democratic-institutions.html	
Elections Canada	http://www.elections.ca/home.aspx	Elections
Employment and Social Development Canada	https://www.canada.ca/en/employment-social-development.html	ESDC
Environment and Climate Change Canada	https://www.canada.ca/en/environment-climate-change.html	ECCC
Environmental Protection Review Canada	http://www.eprc-rpec.gc.ca/eic/site/eprc-rpec.nsf/eng/Home	EPRC
Export Development Canada	http://www.edc.ca/EN/Pages/default.aspx	EDC
Farm Credit Canada	https://www.fcc-fac.ca/en.html	FCC
Farm Products Council of Canada	https://www.canada.ca/en/farm-products-council.html	FPCC
Federal Bridge Corporation	http://www.federalbridge.ca/	FBCL
Federal Court of Appeal	http://www.fca-caf.gc.ca/fca-caf_eng.html	FCA
Federal Court of Canada	http://www.fct-cf.gc.ca/fc_cf_en/Index.html	FC
Federal Economic Development Agency for Southern Ontario	https://www.canada.ca/en/economic-development-southern-ontario.html	FedDev Ontario
Federal Ombudsman for Victims Of Crime (Office of the)	http://www.victimsfirst.gc.ca/index.html	OFOVC
Finance Canada (Department of)	https://www.canada.ca/en/department-finance.html	FIN
Financial Consumer Agency of Canada	https://www.canada.ca/en/financial-consumer-agency.html	FCAC
Financial Transactions and Reports Analysis Centre of Canada	https://www.canada.ca/en/financial-transactions-reports-analysis.html	FINTRAC
Fisheries and Oceans Canada	http://www.dfo-mpo.gc.ca/index-eng.htm	DFO
Freshwater Fish Marketing Corporation	http://www.freshwaterfish.com/	FFMC
Global Affairs Canada	http://www.international.gc.ca/gac-amc/index.aspx?lang=eng	GAC
Governor General of Canada	http://www.gg.ca/index.aspx?lan=eng	OSGG
Great Lakes Pilotage Authority Canada	http://www.glpa-apgl.com/en/	GLPA
Health Canada	https://www.canada.ca/en/health-canada.html	HC
Historic Sites and Monuments Board of Canada	https://www.pc.gc.ca/en/culture/clmhc-hsmbc	HSMBC
Human Rights Tribunal of Canada	http://www.chrt-tcdp.gc.ca/index-en.html	HRTC
Immigration and Refugee Board of Canada	https://www.canada.ca/en/immigration-refugee.html	IRB
Immigration, Refugees and Citizenship Canada	https://www.canada.ca/en/immigration-refugees-citizenship.html?_ga=2.154721784.1999166723.1511794548-2057276988.1508789311	IRCC
Independent Review Panel for Defence Acquisition	https://www.canada.ca/en/independent-review-panel-defence-acquisition.html	IRPDA
Indian Oil and Gas Canada	http://www.pgic-iogc.gc.ca/eng/1100110010002/1100110010005	
Indigenous and Northern Affairs Canada	https://www.canada.ca/en/indigenous-northern-affairs.html	INAC
Indigenous Services Canada	https://www.canada.ca/en/indigenous-services-canada.html	ISC
Industrial Technologies Office	http://ito.ic.gc.ca/eic/site/ito-oti.nsf/eng/Home	ITO
Information Commissioner (Office of the)	http://www.oic-ci.gc.ca/eng/	OIC
Infrastructure Canada	https://www.canada.ca/en/office-infrastructure.html	INFC
Innovation, Science and Economic Development Canada	https://www.canada.ca/en/innovation-science-economic-development.html	ISED
Intergovernmental Affairs	https://www.canada.ca/en/intergovernmental-affairs.html	IGA
International Development Research Centre	https://www.idrc.ca/en	IDRC
Jacques Cartier and Champlain Bridges	http://jacquescartierchamplain.ca/?lang=en	JCCBI
Judicial Compensation and Benefits Commission	http://quadcom.gc.ca/pg_JcJc_QC_01-eng.php	
Justice Canada (Department of)	https://www.canada.ca/en/department-justice.html	JUS
Labour Program	https://www.canada.ca/en/employment-social-development/corporate/portfolio/labour.html	
Laurentian Pilotage Authority Canada	http://www.pilotagestlaurent.gc.ca/en/index.html	LPA
Leader of the Government in the House of Commons	https://www.canada.ca/en/leader-government-house-commons.html	
Library and Archives Canada	https://www.canada.ca/en/library-archives.html	LAC
Marine Atlantic	http://www.marineatlantic.ca/en/	MarineAtlantic
Measurement Canada	https://www.ic.gc.ca/eic/site/mc-mc.nsf/eng/home	MC
Military Grievances External Review Committee	https://www.canada.ca/en/military-grievances-external-review.html	MGERC
Military Police Complaints Commission of Canada	https://www.canada.ca/en/military-police-complaints.html	MPCC
National Arts Centre	http://nac-cna.ca/en/	NAC
National Battlefields Commission	http://www.ccbn-nbc.gc.ca/en/	NBC
National Capital Commission	http://www.ncc-ccn.gc.ca/	NCC
National Defence	https://www.canada.ca/en/department-national-defence.html	DND
Ombudsman for the Department of National Defence and the Canadian Forces (Office of the)	http://www.ombudsman.forces.gc.ca/en/	
National Energy Board	http://www.neb-one.gc.ca/index-eng.html	NEB
National Film Board	https://www.canada.ca/en/national-film-board.html	NFB
National Gallery of Canada	http://www.gallery.ca/	NGC
Canada Science and Technology Museum	http://cstmuseum.techno-science.ca/	
National Research Council Canada	https://nrc.canada.ca/en	NRC
Natural Resources Canada	https://www.nrcan.gc.ca/home	NRCan
National Seniors Council	https://www.canada.ca/en/national-seniors-council.html	
Natural Sciences and Engineering Research Canada	https://www.canada.ca/en/science-engineering-research.html	NSERC
Northern Pipeline Agency Canada	https://www.canada.ca/en/northern-pipeline-agency.html	NPA
Occupational Health and Safety Tribunal Canada	https://www.canada.ca/en/occupational-health-and-safety-tribunal-canada.html	OHSTC
Office of the Chief Military Judge	https://www.canada.ca/en/chief-military-judge.html	OCMJ
Pacific Pilotage Authority Canada	https://ppa.gc.ca/	PPA
Parks Canada	https://www.pc.gc.ca/en/index	PC
Parole Board of Canada	https://www.canada.ca/en/parole-board.html	PBC
Parliament of Canada	http://www.parl.ca/?Language=E	
Patented Medicine Prices Review Board Canada	https://www.canada.ca/en/patented-medicine-prices-review.html	PMPRB
Polar Knowledge Canada	https://www.canada.ca/en/polar-knowledge.html	POLAR
Prime Minister of Canada	http://pm.gc.ca/eng	
Privacy Commissioner of Canada (Office of the)	https://www.priv.gc.ca/en/	OPC
Privy Council Office	https://www.canada.ca/en/privy-council.html	PCO
Procurement Ombudsman (Office of the)	https://www.canada.ca/en/procurement-ombudsman.html	OPO
Public Health Agency of Canada	https://www.canada.ca/en/public-health.html	PHAC
Public Prosecution Service of Canada	http://www.ppsc-sppc.gc.ca/eng/index.html	PPSC
Public Safety Canada	https://www.publicsafety.gc.ca/index-en.aspx	PS
Public Sector Integrity Commissioner of Canada (Office of the)	http://www.psic.gc.ca/eng	PSIC
Public Sector Pension Investment Board	http://www.investpsp.com/en/index.html	PSP Investments
Public Servants Disclosure Protection Tribunal Canada	http://www.psdpt-tpfd.gc.ca/Home-eng.html	PSDPTC
Public Service Commission of Canada	https://www.canada.ca/en/public-service-commission.html	PSC
Public Service Labour Relations and Employment Board	http://pslreb-crtefp.gc.ca/index_e.asp	PSLREB
Public Services and Procurement Canada	http://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html	PSPC
Registry of the Specific Claims Tribunal of Canada	http://www.sct-trp.ca/hom/index_e.htm	SCT
Ridley Terminals Inc.	http://www.rti.ca/	
Royal Canadian Air Force	http://www.rcaf-arc.forces.gc.ca/en/index.page	RCAF
